address,area
"город москва, улица достоевского, дом 25, строение 1",Центральный административный округ
"город москва, улица дубки, дом 6",Северный административный округ
"город москва, улица екатерины будановой, дом 18",Западный административный округ
"город москва, улица жебрунова, дом 4",Восточный административный округ
"город москва, улица жуковского, дом 5",Центральный административный округ
"город москва, улица захарьинские дворики, дом 1, корпус 1",Юго-Западный административный округ
"город москва, улица зенитчиков, дом 7",Северо-Западный административный округ
"город москва, улица знаменские садки, дом 1а",Юго-Западный административный округ
"город москва, улица инессы арманд, дом 13",Юго-Западный административный округ
"город москва, улица капотня, дом 34",Юго-Восточный административный округ
"город москва, улица клочкова, дом 10",Западный административный округ
"город москва, улица константинова, дом 11а",Северо-Восточный административный округ
"город москва, улица кошкина, дом 13, корпус 2",Южный административный округ
"город москва, улица красных зорь, дом 61",Западный административный округ
"город москва, улица крутицкий вал, дом 5",Юго-Восточный административный округ
"город москва, улица кубинка, дом 20, корпус 1",Западный административный округ
"город москва, улица кутузова, дом 20",Западный административный округ
"город москва, улица кухмистерова, дом 20, корпус 2",Юго-Восточный административный округ
"город москва, улица лапина, дом 3",Юго-Восточный административный округ
"город москва, улица лефортовский вал, дом 26",Юго-Восточный административный округ
"город москва, улица линии октябрьской железной дороги, дом 2, строение 2",Северный административный округ
"город москва, улица льва яшина, дом 5, корпус 1",Юго-Восточный административный округ
"город москва, улица максимова, дом 18",Северо-Западный административный округ
"город москва, улица малая ордынка, дом 24",Центральный административный округ
"город москва, улица малые каменщики, дом 18",Центральный административный округ
"город москва, улица маршала мерецкова, дом 4",Северо-Западный административный округ
"город москва, улица маршала новикова, дом 13",Северо-Западный административный округ
"город москва, улица медведева, дом 6",Восточный административный округ
"город москва, улица медиков, дом 16",Южный административный округ
"город москва, улица можайский вал, дом 6",Западный административный округ
"город москва, улица недорубова, дом 5",Юго-Восточный административный округ
"город москва, улица немчинова, дом 8",Северный административный округ
"город москва, улица николаева, дом 5",Центральный административный округ
"город москва, улица новая дорога, дом 11, строение 6",Центральный административный округ
"город москва, улица павла андреева, дом 27, строение 2",Южный административный округ
"город москва, улица паперника, дом 9",Юго-Восточный административный округ
"город москва, улица пивченкова, дом 7",Западный административный округ
"город москва, улица подвойского, дом 2",Центральный административный округ
"город москва, улица полины осипенко, дом 10, корпус 1",Северный административный округ
"город москва, улица пржевальского, дом 2",Западный административный округ
"город москва, улица раевского, дом 3",Западный административный округ
"город москва, улица ращупкина, дом 3",Западный административный округ
"город москва, улица ремизова, дом 12",Юго-Западный административный округ
"город москва, улица рогова, дом 5а",Северо-Западный административный округ
"город москва, улица рогожский посёлок, дом 3",Юго-Восточный административный округ
"город москва, улица рокотова, дом 2а",Юго-Западный административный округ
"город москва, улица рословка, дом 8",Северо-Западный административный округ
"город москва, улица ротерта, дом 5",Северо-Восточный административный округ
"город москва, улица рудневой, дом 10",Северо-Восточный административный округ
"город москва, улица савельева, дом 5",Центральный административный округ
"город москва, улица сайкина, дом 2",Южный административный округ
"город москва, улица саляма адиля, дом 9, корпус 3",Северо-Западный административный округ
"город москва, улица советской армии, дом 9",Северо-Восточный административный округ
"город москва, улица старые кузьминки, дом 10",Юго-Восточный административный округ
"город москва, улица степана шутова, дом 8, корпус 3",Юго-Восточный административный округ
"город москва, улица уткина, дом 48",Восточный административный округ
"город москва, улица фадеева, дом 5, строение 1",Центральный административный округ
"город москва, улица фонвизина, дом 17",Северо-Восточный административный округ
"город москва, улица шеногина, дом 2",Северо-Западный административный округ
"город москва, улица шумилова, дом 9",Юго-Восточный административный округ
"город москва, улица шумкина, дом 26а, строение 4",Восточный административный округ
"город москва, улица щорса, дом 5",Западный административный округ
"город москва, уржумская улица, дом 4, строение 14",Северо-Восточный административный округ
"город москва, успенский переулок, дом 3, строение 4",Центральный административный округ
"город москва, утренняя улица, дом 12",Восточный административный округ
"город москва, учинская улица, дом 10",Северный административный округ
"город москва, фармацевтический проезд, дом 1",Северный административный округ
"город москва, федоскинская улица, дом 4",Северо-Восточный административный округ
"город москва, феодосийская улица, дом 11а",Юго-Западный административный округ
"город москва, филипповский переулок, дом 15/5",Центральный административный округ
"город москва, фролов переулок, дом 2",Центральный административный округ
"город москва, фруктовая улица, дом 9",Южный административный округ
"город москва, хавская улица, дом 15",Южный административный округ
"город москва, хвалынский бульвар, дом 4, корпус 4",Юго-Восточный административный округ
"город москва, хилков переулок, дом 3а",Центральный административный округ
"город москва, хитровский переулок, дом 3/1, строение 4",Центральный административный округ
"город москва, хлебный переулок, дом 2/3, строение 3",Центральный административный округ
"город москва, хлыновский тупик, дом 3, строение 1",Центральный административный округ
"город москва, хованская улица, владение 20",Северо-Восточный административный округ
"город москва, хохловский переулок, дом 10, строение 6",Центральный административный округ
"город москва, челюскинская улица, дом 13",Северо-Восточный административный округ
"город москва, чермянская улица, дом 2, строение 2",Северо-Восточный административный округ
"город москва, чермянский проезд, дом 5, строение 26",Северо-Восточный административный округ
"город москва, черниговский переулок, дом 9/13, строение 2",Центральный административный округ
"город москва, черницынский проезд, дом 3, строение 11",Восточный административный округ
"город москва, черноморский бульвар, дом 8",Южный административный округ
"город москва, чукотский проезд, дом 6",Северо-Восточный административный округ
"город москва, чуксин тупик, дом 6",Северный административный округ
"город москва, шепелюгинская улица, дом 21/13, строение 1",Юго-Восточный административный округ
"город москва, шоссе фрезер, дом 32, строение 1",Юго-Восточный административный округ
"город москва, штурвальная улица, дом 7, корпус 2",Северо-Западный административный округ
"город москва, шубинский переулок, дом 2/3",Центральный административный округ
"город москва, щёлковский проезд, дом 13",Восточный административный округ
"город москва, электрический переулок, дом 8, строение 2",Центральный административный округ
"город москва, юрловский проезд, дом 17, строение 1",Северо-Восточный административный округ
"город москва, якиманский переулок, дом 6, строение 1",Центральный административный округ
"город москва, ялтинская улица, дом 2",Южный административный округ
"город москва, янтарный проезд, дом 2",Северо-Восточный административный округ
"город москва, ясногорская улица, дом 2",Юго-Западный административный округ
"город москва, яузский бульвар, дом 14/8",Центральный административный округ
"город москва, яхромская улица, дом 3",Северный административный округ
